person_id,人名,显示名,字或号,正式称号,建议文件名
aihong,艾洪,,,给事中,portrait_aihong.png
aimu,艾穆,,,湖广承宣布政使,portrait_aimu.png
ainanying,艾南英,,,给事中,portrait_ainanying.png
anchenggongzhu,安成公主,,,安成公主,portrait_anchenggongzhu.png
anguo,安国,,,署指挥使,portrait_anguo.png
anpan,安磐,,,兵科都给事中,portrait_anpan.png
anqinggongzhu,安庆公主,,,安庆公主,portrait_anqinggongzhu.png
anxifan,安希范,,,礼部主事,portrait_anxifan.png
baiang,白昂,,廷仪,都御史,portrait_baiang.png
baiguangen,白广恩,,鲲波,蓟州总兵,portrait_baiguangen.png
baigui,白圭,,,兵部尚书,portrait_baigui.png
baihuiyuan,白慧元,,,经历,portrait_baihuiyuan.png
baiyu,白瑜,,,给事中,portrait_baiyu.png
baojianjie,包见捷,,,兴业县知县,portrait_baojianjie.png
baojie,包节,,,湖广道监察御史,portrait_baojie.png
baoqinggongzhu,宝庆公主,,,宝庆公主,portrait_baoqinggongzhu.png
baoxiangxian,鲍象贤,,,巡抚,portrait_baoxiangxian.png
baoyanhui,薄彦徽,,,贬大学士,portrait_baoyanhui.png
baozhao,暴昭,,,刑部右侍郎,portrait_baozhao.png
beibingyi,贝秉彝,,,邵阳知县,portrait_beibingyi.png
beiqiong,贝琼,,,应召编修,portrait_beiqiong.png
biangong,边贡,,廷实,累官南京户部尚书,portrait_biangong.png
bimaokang,毕懋康,,孟侯,兵部右侍郎,portrait_bimaokang.png
biqiang,毕锵,,,万历年间累官户部尚书,portrait_biqiang.png
biziyan,毕自严,,,户部尚书,portrait_biziyan.png
caidaoxian,蔡道宪,,,长沙府推官,portrait_caidaoxian.png
caifuyi,蔡复一,,,总督,portrait_caifuyi.png
caiguoyong,蔡国用,,正甫,同进士,portrait_caiguoyong.png
caiguozhen,蔡国珍,,汝聘,郎中,portrait_caiguozhen.png
caimaode,蔡懋德,,,巡抚,portrait_caimaode.png
caiqian,蔡迁,,,广西行省参政,portrait_caiqian.png
caiqing,蔡清,,,礼部祠祭司员外郎,portrait_caiqing.png
caishiding,蔡时鼎,,,尚书,portrait_caishiding.png
caixi,蔡悉,,,泉州府通判,portrait_caixi.png
caiyu,蔡羽,,,南京翰林院孔目,portrait_caiyu.png
caiyun,蔡运,,,宾州知州,portrait_caiyun.png
caobangfu,曹邦辅,,,弹劾总督,portrait_caobangfu.png
caobianjiao,曹变蛟,,,总兵官,portrait_caobianjiao.png
caoduan,曹端,,,举人,portrait_caoduan.png
caoguang,曹珖,,,工部尚书,portrait_caoguang.png
caohu,曹琥,,,巩昌府知府,portrait_caohu.png
caohuachun,曹化淳,,,司礼监太监,portrait_caohuachun.png
caojixiang,曹吉祥,,,昭武伯,portrait_caojixiang.png
caokai,曹凯,,,中进士,portrait_caokai.png
caoliangchen,曹良臣,,,忠壮,portrait_caoliangchen.png
caolin,曹璘,,,监察御史,portrait_caolin.png
caomin,曹闵,,,福建沙县知县,portrait_caomin.png
caonai,曹鼐,,万钟,文襄,portrait_caonai.png
caoqincheng,曹钦程,,二美,太仆寺少卿,portrait_caoqincheng.png
caowenzhao,曹文诏,,,总兵官,portrait_caowenzhao.png
caoxing,曹兴,,,怀远侯,portrait_caoxing.png
caoxiong,曹雄,,,署都督,portrait_caoxiong.png
caoxuecheng,曹学程,,,御史,portrait_caoxuecheng.png
caoxuequan,曹学佺,,,藏书家,portrait_caoxuequan.png
caoyuan,曹元,,,大学士,portrait_caoyuan.png
caoyubian,曹于汴,,,太子太保安邑曹公,portrait_caoyubian.png
caozhen,曹震,,,职指挥使,portrait_caozhen.png
cengbingzheng,曾秉正,,,通政使,portrait_cengbingzheng.png
cengchong,曾翀,,,都御史,portrait_cengchong.png
cengfengshao,曾凤韶,,,监察御史,portrait_cengfengshao.png
cenghengying,曾亨应,,,吏部主事,portrait_cenghengying.png
cenghui,曾翚,,,刑部员外郎,portrait_cenghui.png
cengjian,曾鉴,,,工部尚书,portrait_cengjian.png
cengjun,曾钧,,,礼部尚书,portrait_cengjun.png
